road_id, road_type  , hour, avg_speed_kmh, congestion_level, travel_time_multiplier, passable_ambulance, passable_firetruck, rain
   1001, tertiary   ,    0,          11.5,            0.288,                   1.25, oui               , oui               , non
   1001, tertiary   ,    1,          11.1,            0.329,                   1.3 , oui               , oui               , non
   1001, tertiary   ,    2,          11.9,            0.258,                   1.22, oui               , oui               , non
   1001, tertiary   ,    3,           7.0,            0.485,                   1.51, oui               , oui               , oui
   1001, tertiary   ,    4,           7.0,            0.473,                   1.5 , oui               , oui               , oui
   1001, tertiary   ,    5,          22.5,            0.311,                   1.28, oui               , oui               , non
   1001, tertiary   ,    6,          22.6,            0.31 ,                   1.28, oui               , oui               , non
   1001, tertiary   ,    7,          11.2,            0.783,                   2.21, oui               , oui               , non
   1001, tertiary   ,    8,          10.1,            0.828,                   2.38, oui               , oui               , non
   1001, tertiary   ,    9,          11.5,            0.773,                   2.18, oui               , oui               , non
   1001, tertiary   ,   10,          13.9,            0.488,                   1.52, oui               , oui               , oui
   1001, tertiary   ,   11,          22.6,            0.309,                   1.28, oui               , oui               , non
   1001, tertiary   ,   12,          14.9,            0.627,                   1.78, oui               , oui               , non
   1001, tertiary   ,   13,           9.7,            0.775,                   2.18, non               , oui               , oui
   1001, tertiary   ,   14,          16.2,            0.577,                   1.68, oui               , oui               , non
   1001, tertiary   ,   15,          13.3,            0.528,                   1.59, oui               , oui               , oui
   1001, tertiary   ,   16,          23.1,            0.289,                   1.25, oui               , oui               , non
   1001, tertiary   ,   17,           9.4,            0.859,                   2.51, non               , oui               , non
   1001, tertiary   ,   18,           8.5,            0.894,                   2.67, non               , oui               , non
   1001, tertiary   ,   19,           5.6,            1.0  ,                   3.33, non               , non               , oui
   1001, tertiary   ,   20,           8.6,            0.893,                   2.67, non               , oui               , non
   1001, tertiary   ,   21,          13.7,            0.501,                   1.54, oui               , oui               , oui
   1001, tertiary   ,   22,          23.8,            0.259,                   1.22, oui               , oui               , non
   1001, tertiary   ,   23,          22.6,            0.31 ,                   1.28, oui               , oui               , non
   1002, secondary  ,    0,          17.5,            0.536,                   1.6 , oui               , oui               , oui
   1002, secondary  ,    1,          30.7,            0.291,                   1.26, oui               , oui               , non
   1002, secondary  ,    2,          29.7,            0.322,                   1.29, oui               , oui               , non
   1002, secondary  ,    3,          28.8,            0.349,                   1.32, oui               , oui               , non
   1002, secondary  ,    4,          30.3,            0.302,                   1.27, oui               , oui               , non
   1002, secondary  ,    5,          31.5,            0.267,                   1.23, oui               , oui               , non
   1002, secondary  ,    6,          18.7,            0.477,                   1.5 , oui               , oui               , oui
   1002, secondary  ,    7,          15.5,            0.767,                   2.16, oui               , oui               , non
   1002, secondary  ,    8,          15.0,            0.78 ,                   2.2 , oui               , oui               , non
   1002, secondary  ,    9,          14.8,            0.786,                   2.22, oui               , oui               , non
   1002, secondary  ,   10,          29.7,            0.322,                   1.29, oui               , oui               , non
   1002, secondary  ,   11,          30.0,            0.312,                   1.28, oui               , oui               , non
   1002, secondary  ,   12,          13.2,            0.764,                   2.15, oui               , oui               , oui
   1002, secondary  ,   13,          21.1,            0.59 ,                   1.7 , oui               , oui               , non
   1002, secondary  ,   14,          21.2,            0.588,                   1.7 , oui               , oui               , non
   1002, secondary  ,   15,          30.6,            0.294,                   1.26, oui               , oui               , non
   1002, secondary  ,   16,          29.4,            0.332,                   1.3 , oui               , oui               , non
   1002, secondary  ,   17,          10.9,            0.909,                   2.75, oui               , oui               , non
   1002, secondary  ,   18,          10.9,            0.91 ,                   2.76, oui               , oui               , non
   1002, secondary  ,   19,           6.8,            1.0  ,                   3.33, non               , non               , oui
   1002, secondary  ,   20,          11.5,            0.89 ,                   2.65, oui               , oui               , non
   1002, secondary  ,   21,          29.6,            0.323,                   1.29, oui               , oui               , non
   1002, secondary  ,   22,          28.9,            0.347,                   1.32, oui               , oui               , non
   1002, secondary  ,   23,          31.0,            0.283,                   1.25, oui               , oui               , non
   1003, residential,    0,           7.4,            0.329,                   1.3 , oui               , non               , non
   1003, residential,    1,           5  ,            0.543,                   1.61, non               , non               , oui
   1003, residential,    2,           5  ,            0.55 ,                   1.63, non               , non               , oui
   1003, residential,    3,           5  ,            0.527,                   1.58, non               , non               , oui
   1003, residential,    4,           7.4,            0.323,                   1.29, oui               , non               , non
   1003, residential,    5,          15.7,            0.271,                   1.23, oui               , non               , non
   1003, residential,    6,           8.8,            0.533,                   1.6 , non               , non               , oui
   1003, residential,    7,           6.6,            0.835,                   2.41, non               , non               , non
   1003, residential,    8,           5  ,            1.0  ,                   3.33, non               , non               , oui
   1003, residential,    9,           7.5,            0.78 ,                   2.2 , non               , non               , non
   1003, residential,   10,          15.8,            0.265,                   1.23, oui               , non               , non
   1003, residential,   11,          15.4,            0.288,                   1.25, oui               , non               , non
   1003, residential,   12,          10.2,            0.61 ,                   1.74, oui               , non               , non
   1003, residential,   13,          10.3,            0.603,                   1.73, oui               , non               , non
   1003, residential,   14,           9.8,            0.637,                   1.8 , non               , non               , non
   1003, residential,   15,          15.9,            0.254,                   1.22, oui               , non               , non
   1003, residential,   16,          14.9,            0.32 ,                   1.29, oui               , non               , non
   1003, residential,   17,           5.4,            0.909,                   2.75, non               , non               , non
   1003, residential,   18,           6.2,            0.861,                   2.52, non               , non               , non
   1003, residential,   19,           5  ,            1.0  ,                   3.33, non               , non               , oui
   1003, residential,   20,           5.4,            0.911,                   2.76, non               , non               , non
   1003, residential,   21,          15.0,            0.315,                   1.28, oui               , non               , non
   1003, residential,   22,          14.5,            0.347,                   1.32, oui               , non               , non
   1003, residential,   23,           8.8,            0.53 ,                   1.59, non               , non               , oui
   1004, secondary  ,    0,          31.7,            0.26 ,                   1.22, oui               , oui               , non
   1004, secondary  ,    1,          29.6,            0.325,                   1.29, oui               , oui               , non
   1004, secondary  ,    2,          29.8,            0.319,                   1.29, oui               , oui               , non
   1004, secondary  ,    3,          30.8,            0.287,                   1.25, oui               , oui               , non
   1004, secondary  ,    4,          29.8,            0.318,                   1.29, oui               , oui               , non
   1004, secondary  ,    5,          31.5,            0.265,                   1.23, oui               , oui               , non
   1004, secondary  ,    6,          30.5,            0.298,                   1.26, oui               , oui               , non
   1004, secondary  ,    7,           7.8,            1.0  ,                   3.33, non               , non               , oui
   1004, secondary  ,    8,          13.3,            0.833,                   2.4 , oui               , oui               , non
   1004, secondary  ,    9,          14.9,            0.785,                   2.22, oui               , oui               , non
   1004, secondary  ,   10,          29.5,            0.328,                   1.3 , oui               , oui               , non
   1004, secondary  ,   11,          18.5,            0.485,                   1.51, oui               , oui               , oui
   1004, secondary  ,   12,          20.1,            0.622,                   1.77, oui               , oui               , non
   1004, secondary  ,   13,          13.3,            0.757,                   2.13, oui               , oui               , oui
   1004, secondary  ,   14,          12.1,            0.821,                   2.35, oui               , oui               , oui
   1004, secondary  ,   15,          18.5,            0.484,                   1.51, oui               , oui               , oui
